
2024/04/12 (22:10:26) | ===> btop++ v.1.3.2
2024/04/12 (22:10:26) | ERROR: Stall in Runner thread, restarting!
2024/04/12 (22:10:34) | ERROR: Stall in Runner thread, restarting!

2024/04/14 (23:20:00) | ===> btop++ v.1.3.2
2024/04/14 (23:20:00) | ERROR: Stall in Runner thread, restarting!
2024/04/14 (23:20:10) | ERROR: Stall in Runner thread, restarting!

2024/04/15 (15:21:31) | ===> btop++ v.1.3.2
2024/04/15 (15:21:31) | ERROR: Stall in Runner thread, restarting!
2024/04/15 (15:21:38) | ERROR: Stall in Runner thread, restarting!

2024/04/21 (19:15:20) | ===> btop++ v.1.3.2
2024/04/21 (19:15:20) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2024/04/21 (19:17:42) | ===> btop++ v.1.3.2
2024/04/21 (19:17:42) | INFO: Logger set to INFO
2024/04/21 (19:17:43) | INFO: Logger set to DEBUG
2024/04/21 (19:17:48) | INFO: Logger set to INFO
2024/04/21 (19:17:52) | INFO: Logger set to INFO
2024/04/21 (19:17:53) | INFO: Logger set to DEBUG
2024/04/21 (19:17:55) | INFO: Logger set to INFO

2024/04/22 (04:49:22) | ===> btop++ v.1.3.2
2024/04/22 (04:49:22) | ERROR: Stall in Runner thread, restarting!

2024/05/03 (06:11:49) | ===> btop++ v.1.3.2
2024/05/03 (06:11:49) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/08/06 (16:56:08) | ===> btop++ v.1.3.2
2024/08/06 (16:56:08) | ERROR: No tty detected!
btop++ needs an interactive shell to run.
